RESULTS:

REFERENCE:

######################################################################################################
######################################################################################################
CROSS ENTROPY

2022-01-07 11:01:56 | INFO | fairseq_cli.eval_lm | loading model(s) from /cluster/scratch/andriusb/checkpoints/wikitext-2_cross_entropy/checkpoint_best.pt
2022-01-07 11:02:08 | INFO | fairseq_cli.eval_lm | data-bin/wikitext-2 test 122,785 examples
2022-01-07 11:14:58 | INFO | fairseq_cli.eval_lm | Loss (base 2): 6.7025, Perplexity: 104.15

######################################################################################################
######################################################################################################
LABEL SMOOTHING

2022-01-10 07:18:34 | INFO | fairseq_cli.eval_lm | loading model(s) from /cluster/scratch/andriusb/checkpoints/wikitext-2_label_smoothing_0.0001/checkpoint_best.pt
2022-01-10 07:18:39 | INFO | fairseq_cli.eval_lm | data-bin/wikitext-2 test 122,785 examples
2022-01-10 07:31:07 | INFO | fairseq_cli.eval_lm | Loss (base 2): 6.6763, Perplexity: 102.28

2022-01-11 10:34:38 | INFO | fairseq_cli.eval_lm | loading model(s) from /cluster/scratch/andriusb/checkpoints/wikitext-2_label_smoothing_0.001/checkpoint_best.pt
2022-01-11 10:34:48 | INFO | fairseq_cli.eval_lm | data-bin/wikitext-2 test 122,785 examples
2022-01-11 10:47:11 | INFO | fairseq_cli.eval_lm | Loss (base 2): 6.6716, Perplexity: 101.94

2022-01-11 10:37:36 | INFO | fairseq_cli.eval_lm | loading model(s) from /cluster/scratch/andriusb/checkpoints/wikitext-2_label_smoothing_0.01/checkpoint_best.pt
2022-01-11 10:38:11 | INFO | fairseq_cli.eval_lm | data-bin/wikitext-2 test 122,785 examples
2022-01-11 10:50:48 | INFO | fairseq_cli.eval_lm | Loss (base 2): 6.6566, Perplexity: 100.89

2022-01-17 07:52:33 | INFO | fairseq_cli.eval_lm | loading model(s) from /cluster/scratch/andriusb/checkpoints/wikitext-2_label_smoothing_0.02/checkpoint_best.pt
2022-01-17 07:52:43 | INFO | fairseq_cli.eval_lm | data-bin/wikitext-2 test 122,785 examples
2022-01-17 08:05:19 | INFO | fairseq_cli.eval_lm | Loss (base 2): 6.6632, Perplexity: 101.35

2022-01-17 07:53:03 | INFO | fairseq_cli.eval_lm | loading model(s) from /cluster/scratch/andriusb/checkpoints/wikitext-2_label_smoothing_0.03/checkpoint_best.pt
2022-01-17 07:53:07 | INFO | fairseq_cli.eval_lm | data-bin/wikitext-2 test 122,785 examples
2022-01-17 08:05:56 | INFO | fairseq_cli.eval_lm | Loss (base 2): 6.6549, Perplexity: 100.77

2022-01-17 07:53:02 | INFO | fairseq_cli.eval_lm | loading model(s) from /cluster/scratch/andriusb/checkpoints/wikitext-2_label_smoothing_0.04/checkpoint_best.pt
2022-01-17 07:53:07 | INFO | fairseq_cli.eval_lm | data-bin/wikitext-2 test 122,785 examples
2022-01-17 08:05:10 | INFO | fairseq_cli.eval_lm | Loss (base 2): 6.6357, Perplexity: 99.44

2022-01-17 07:53:03 | INFO | fairseq_cli.eval_lm | loading model(s) from /cluster/scratch/andriusb/checkpoints/wikitext-2_label_smoothing_0.05/checkpoint_best.pt
2022-01-17 07:53:07 | INFO | fairseq_cli.eval_lm | data-bin/wikitext-2 test 122,785 examples
2022-01-17 08:05:13 | INFO | fairseq_cli.eval_lm | Loss (base 2): 6.6373, Perplexity: 99.55

2022-01-17 07:53:03 | INFO | fairseq_cli.eval_lm | loading model(s) from /cluster/scratch/andriusb/checkpoints/wikitext-2_label_smoothing_0.06/checkpoint_best.pt
2022-01-17 07:53:08 | INFO | fairseq_cli.eval_lm | data-bin/wikitext-2 test 122,785 examples
2022-01-17 08:05:06 | INFO | fairseq_cli.eval_lm | Loss (base 2): 6.6383, Perplexity: 99.62

